x;y;duration
857,9669;76,3271;583,5035
935,2612;61,15349;195,2211
982,5226;86,16682;150,1328
1023,063;80,25299;150,2997
889,6616;105,9331;541,1097
997,5251;115,831;644,4933
929,5762;326,7224;405,9114
1008,533;297,1768;283,801
304,8574;412,3839;404,9697
338,7197;362,9697;343,4092
389,7209;372,0196;242,0356
458,9677;374,6374;254,9697
528,8468;370,5938;479,8511
609,8386;372,0998;524,5254
685,9432;359,3692;434,9736
746,939;373,0958;299,8032
802,1478;368,1407;193,54
864,421;377,7137;269,833
914,3749;367,2143;297,998
983,0992;370,4213;465,0532
1069,255;367,836;645
1175,632;370,8068;479,0576
1235,714;373,7034;402,2344
1316,959;376,0391;269,0352
1397,762;381,0543;165,4248
1482,109;368,8826;704,998
1523,45;378,6289;209,0381
1572,376;378,5291;254,6396
1627,135;389,433;316,833
235,971;428,7735;316,3975
252,1319;399,0374;495,7998
298,4916;408,711;853,8672
347,534;407,3475;224,999
407,5258;404,3315;420,2725
459,4184;411,6453;599,1729
510,5137;396,4034;675,082
561,8701;399,3411;270,9971
632,2924;407,5585;389,6416
718,5222;411,7958;194,3555
796,3914;392,0567;392,0137
843,5788;390,5607;254,9492
915,836;393,2471;165,5176
1015,059;386,3529;269,9551
305,6751;488,251;240,1797
276,5265;452,1184;465,6113
311,4075;431,5341;300,9336
344,4627;434,776;149,7598
462,9231;447,6782;899,8926
569,0199;463,1016;119,1621
524,6197;436,8657;225,5117
589,3214;449,181;162,5977
672,2534;451,9417;464,0391
742,355;459,5878;178,8457
789,9774;462,6235;210,8438
848,1285;457,7235;150,8027
913,8236;447,7369;255,3086
1034,741;449,5889;810,1895
1119,477;457,9047;268,6992
1152,589;458,4452;118,4258
1097,935;470,5736;163,875
1196,055;446,9964;165,7715
1238,404;439,7428;230,6113
1321,442;448,6953;208,0879
1481,451;447,8587;165,7051
1542,177;454,8042;134,9316
1680,794;468,6248;257,3594
954,3538;1044,608;240,8809
226,3491;487,9457;599,1543
291,7113;484,2534;300,709
357,3001;474,7133;284,3086
424,5607;480,1298;165,6191
477,7555;472,96;377,6211
555,671;477,0453;449,5645
689,0834;488,3156;209,1797
747,4464;495,3242;210,123
784,1744;491,0639;162,5547
869,6541;472,9705;269,4707
963,862;468,6193;435,8867
1118,652;472,0576;689,8691
1190,717;486,0818;210,9941
1294,365;482,0499;269,957
1422,037;485,6887;421,0117
1492,195;477,9729;134,7832
1554,61;485,7416;406,0527
1617,148;482,3078;179,9648
1656,77;491,2981;134,9473
240,3719;521,4658;434,8457
330,0085;512,0262;690,375
371,1818;504,3629;297,9063
421,6387;503,692;809,8047
485,5872;504,9602;600,875
578,0649;504,8765;435,0938
647,1141;498,8083;303,0625
690,2864;499,9979;120,832
754,3758;509,556;391,8477
815,2365;515,2782;179,8125
875,8546;524,6307;197,3555
943,8293;502,6704;165,3203
906,2269;504,2009;314,9375
960,8315;497,8794;266,4766
1008,872;507,121;375,1914
1050,674;508,0874;464,9023
1123,627;493,5847;434,9844
1177,513;512,7778;511,9922
1260,794;508,4316;328,9766
1325,108;510,8361;706,6367
1379,125;506,3429;300,7227
1451,34;517,0668;419,1875
1545,209;504,8133;285,0313
1609,148;503,1312;269,8516
1654,996;501,7397;195,3438
1694,168;518,8411;9643,609
210,5502;538,4746;313,8438
277,1403;530,8138;299,8945
311,2433;533,4178;134,9063
374,9098;536,7195;299,8438
466,9852;543,4453;569,8945
511,5685;540,9482;179,9414
552,7536;544,7826;301,0313
607,5483;531,9202;269,7578
583,9759;535,9462;210,6992
656,8595;538,4819;286,0313
701,144;549,194;359,4922
785,9946;536,6543;300,3633
836,212;537,5812;196,8633
935,5385;535,0346;494,7031
994,1809;534,7862;161,7969
1048,506;541,522;537,9766
1094,129;539,7855;332,75
1151,662;523,6879;569,9453
1225,267;533,5327;467,7734
1278,714;539,1171;252,6758
1319,88;535,5229;165,6797
1355,507;538,7297;342,3867
1399,302;546,7078;254,8398
1491,701;528,7957;450,3242
1565,666;553,0293;388,6055
1638,023;537,3245;347,168
1690,35;543,0913;136,1719
226,9268;581,798;299,5195
289,6576;559,7327;452,6992
360,0024;550,615;495,3828
434,0458;550,2587;373,332
539,6016;553,0927;239,5703
580,0535;557,2113;388,8867
641,5697;571,0076;150,0273
673,1689;565,4276;388,4023
723,5935;562,7565;465,1523
806,8253;557,7211;406,4805
806,8535;561,4315;254,3008
871,3643;564,8231;330,7539
938,6158;559,138;629,918
987,1802;561,421;179,1602
1047,107;574,2421;223,957
1139,527;575,2626;403,5273
1192,727;567,0179;210,9844
1259,99;561,0584;570,8047
1331,105;565,301;297,8086
1358,29;575,9924;420,3281
1479,845;567,4781;565,8164
1583,196;575,8096;510,0977
1651,138;569,4848;210,9492
185,374;583,9756;315,0898
305,7574;587,2708;723,0742
350,6671;575,8991;284,9414
419,5362;570,7747;495,8398
480,4897;597,6456;1034,75
564,752;592,5295;301,1016
631,0593;597,2859;312,5859
664,0752;594,9452;587,125
738,1857;591,769;372,9922
769,3939;587,4316;298,9531
817,4745;589,8808;210,6641
858,8005;590,1368;210,0859
924,5544;594,4996;164,9688
969,2224;591,0474;391,8359
1023,951;597,8478;614,6484
1115,468;588,3187;179,8125
1179,078;589,7072;419,2656
1218,84;596,0683;238,6953
1301,776;600,4777;508,7891
1405,544;605,8771;330,2422
1476,523;601,1537;255,1172
1527,444;603,663;329,125
1587,737;608,2711;315,8281
1621,448;601,663;329,2813
1670,763;604,7313;150,5938
171,046;598,4666;300,1172
216,3057;622,9889;557,5469
314,328;617,89;495,1953
365,6597;601,2928;479,0625
420,5484;607,7206;165,2734
528,1244;595,8621;287,5156
612,9177;608,6017;149,7656
679,2118;620,0109;510,5
754,5378;622,0167;239,9844
816,2951;623,9517;403,2344
901,8375;621,0262;435,0313
231,2969;655,9732;553,1875
309,5233;673,9758;197,9609
343,7917;671,0617;372,5625
395,3007;666,2432;404,8281
476,2456;664,5025;135,9844
513,5021;665,5728;600,1719
610,1224;677,0209;238,3281
556,689;673,8647;224,9063
614,4755;671,0883;539,3594
663,0475;666,1505;374,75
741,9516;679,2104;296,4688
797,2653;678,4835;314,7969
856,5936;680,5762;349,3359
905,1819;678,9141;375,7813
963,0507;687,6699;151,1953
1009,679;676,3032;481
1084,386;672,7367;463,2188
1153,657;672,2885;209,5078
1208,752;677,5713;242,2266
1278,142;661,0004;328,0313
1316,488;678,2861;389,2969
1380,026;689,2009;345,0938
1420,907;684,5064;375,1719
1473,58;688,374;173,3281
1517,275;678,9459;196,9922
1616,57;680,2808;360,6719
1669,481;696,4931;301,2344
170,9114;691,176;240,8594
244,9315;697,1575;240,9063
307,65;707,6644;464,8047
364,2518;698,6682;299,6484
420,1671;696,7177;281,6563
458,3586;695,1372;360,2266
514,8506;703,8143;599,0391
583,9125;698,5421;269,5547
635,1389;708,637;525,5313
688,58;703,5532;283,3281
783,4702;706,9475;466,375
844,855;715,8339;121,5938
784,9616;712,805;331,3125
839,3575;701,5101;404,2734
952,8015;711,2601;344,9844
1006,648;705,3356;239,9219
1113,557;705,2844;324,5547
