Timestamp;GazeX;GazeY;LeftEye;RightEye;LineNumber
78440457,204548;636,6106;81,02141;False;False;1
78440469,2328454;635,9391;83,44259;True;True;1
78440485,1172533;632,1093;93,29414;True;True;1
78440499,2017121;633,7348;90,76476;True;True;1
78440530,7173567;634,1981;99,87209;True;True;1
78440544,1920757;640,5742;97,76675;True;True;1
78440559,2017882;644,2659;96,73052;True;True;1
78440574,7870282;652,0582;96,88963;True;True;1
78440589,2691104;648,8851;95,8776;True;True;1
78440604,3791791;647,6677;98,69585;True;True;1
78440619,6454842;646,7012;98,92003;True;True;1
78440634,3389226;646,0322;97,65022;True;True;1
78440649,2478988;647,5914;94,80846;True;True;1
78440680,1112281;647,5106;94,33305;True;True;1
78440694,3610466;647,0913;94,43282;True;True;1
78440709,8542935;641,8068;96,22449;True;True;1
78440724,3508209;642,4084;96,34805;True;True;1
78440739,4297184;643,1163;95,12495;True;True;1
78440754,0802013;646,1147;93,77853;True;True;1
78440769,3655132;658,1086;89,74928;True;True;1
78440784,1022873;670,4758;93,01462;True;True;1
78440799,9711096;672,3934;92,80779;True;True;1
78440830,0342503;679,8799;84,90557;True;True;1
78440844,4950449;681,8903;85,96894;True;True;1
78440859,3565039;684,7032;89,71278;True;True;1
78440874,2198637;694,8878;100,0126;True;True;1
78440889,6568503;695,4295;99,8138;True;True;1
78440904,162501;693,6388;95,42449;True;True;1
78440918,9068778;698,062;102,4377;True;True;1
78440934,4753918;701,7734;101,02;True;True;1
78440949,1950597;709,5207;102,2149;True;True;1
78440980,3811254;723,8964;95,35883;True;False;1
78440994,2356014;731,7375;93,43164;True;False;1
78441009,3270433;740,0463;94,48018;True;True;1
78441024,5040161;746,2084;92,71886;True;True;1
78441039,5954581;745,7699;90,94283;True;True;1
78441054,503674;744,83;92,2326;True;True;1
78441069,0397357;746,8585;96,5058;True;True;1
78441084,206825;747,1219;100,2978;True;True;1
78441099,2184382;747,9396;99,88961;True;True;1
78441130,1931476;748,2855;101,8875;True;True;1
78441144,2319901;749,9482;107,3116;True;True;1
78441159,7822575;754,9479;109,484;True;True;1
78441174,1396548;774,9808;114,0094;True;True;1
78441189,2919187;777,3059;113,275;True;True;1
78441204,8440868;778,6638;110,9404;True;True;1
78441219,1094909;781,4679;109,4428;True;True;1
78441234,1097;778,4935;110,7308;True;True;1
78441250,1355189;778,5298;110,1339;True;True;1
78441280,0891802;779,022;109,3954;True;True;1
78441295,116379;778,5766;115,1148;True;True;1
78441308,9624919;778,5833;118,6301;True;True;1
78441323,8558824;783,282;131,9585;True;True;1
78441339,7745027;785,2858;129,7785;True;True;1
78441354,3835507;785,6073;128,6001;True;True;1
78441369,1579584;787,8685;133,5645;True;True;1
78441384,8192258;785,4174;139,5133;True;True;1
78441401,669562;784,7166;140,877;True;True;1
78441432,8328195;786,4094;139,0125;False;True;1
78441446,8393503;784,0085;99,42751;True;True;0
78441461,7266586;764,4842;104,8389;True;True;0
78441478,2782071;697,9351;132,5986;True;True;0
78441491,9783474;691,5734;135,1768;True;True;0
78441506,9705736;668,0125;125,265;True;True;0
78441523,6775981;658,2174;126,7438;True;True;0
78441537,2085774;650,5454;131,8269;True;True;0
78441549,0707549;642,0366;139,9883;True;True;0
78441579,7770876;639,4341;141,3284;True;True;2
78441593,8147896;643,5663;131,4267;True;True;2
78441609,2468344;639,8467;135,7105;True;True;2
78441623,8345948;639,8372;131,543;True;True;2
78441639,2620779;640,0886;123,5276;True;True;2
78441654,4918898;638,2341;123,6222;True;True;2
78441669,1229858;636,7644;125,5925;True;True;2
78441684,1908592;636,6271;128,3878;True;True;2
78441699,5476369;636,9582;135,7495;True;True;2
78441730,1475312;638,6591;136,7677;True;True;2
78441744,8839251;638,8541;135,6604;True;True;2
